,chart_position,track,artist,streams,url
1055010,51,Apelsinskal (feat. Newkid),Tjuvjakt,307774,https://open.spotify.com/track/4RBuYTb1Ebw9XPJ4JIUDJd
1055038,79,Chérie,Jireel,227268,https://open.spotify.com/track/5Fb5lvlVCLRLm9jXn2Xdg1
1055042,83,Grindar 2,ADAAM,217522,https://open.spotify.com/track/1mteIhm3tnAzqbEV1wZ0Dy
1055043,84,Krossat glas (feat. Nils Pontus),Anis Don Demina,215895,https://open.spotify.com/track/5bO5bxRGP5xSmTHJvujhog
1055044,85,Västerbron,Thomas Stenström,214194,https://open.spotify.com/track/4HYeaYlFi8uK7SLyq5Zcu4
1055053,94,Tillfälligheter,Norlie & KKV,202511,https://open.spotify.com/track/76ONpwVPKvy10vJrLFOEhE
1055108,149,Apanage,Erik Lundin,164933,https://open.spotify.com/track/23WM864U0pV6Tqlq7wmI1J
1055114,155,Bro,Lelo,161431,https://open.spotify.com/track/0jngaMh4nKBzquXKeaaYzv
1055115,156,Rymden och tillbaka,Einár,160772,https://open.spotify.com/track/3P2leUfFrHUU1ovVh7XdRj
1055117,158,SIG SAUER,Dree Low,160542,https://open.spotify.com/track/2ekJoT9zVuRGJWJN1mBceG
1055123,164,LaLa,Jireel,158944,https://open.spotify.com/track/0MEsvPJgDgZxI56vhAaD5V
1055125,166,Blickar,Lamix,157466,https://open.spotify.com/track/3gKdOPccnZvkulrwhTRIEI
1055130,171,Laxed – Siren Beat,Jawsh 685,156141,https://open.spotify.com/track/3BJiF37kmX4HCfYSO7qBnQ
1055142,183,Move,The Mamas,148566,https://open.spotify.com/track/19LiotxKSVs7FeVMEdHz63
1055147,188,Tillsammans i mörker,Håkan Hellström,146116,https://open.spotify.com/track/2S13DCorPxSLjWf81rRNDw
1055149,190,Färger,Kaliffa,144517,https://open.spotify.com/track/363Xlf6F8k7pHHpQptFWT7
1055151,192,Relationer,Jireel,144440,https://open.spotify.com/track/3M9RFZIleI24aDQ8Dv5ZFq
1055154,195,Alla våra smeknamn,Molly Sandén,142626,https://open.spotify.com/track/1yXRbopf6xxpwmbPfolBQo
1055157,198,Då börjar fåglar sjunga,Miss Li,141261,https://open.spotify.com/track/7FemQvLSKHlBYsIM3PoCs8
1055251,92,Långsamt,Mando Diao,236295,https://open.spotify.com/track/0CMuXgUQQckEsBizMbKUFO
1055282,123,No Way,Blizzy,191496,https://open.spotify.com/track/1J2jGMuAfgZPYmg4oHYP7X
1055288,129,Sommarlov,Grannen Måns,187814,https://open.spotify.com/track/2ABkGyRNazwcSgauGN6zFj
1055300,141,Lappen,Awave,181520,https://open.spotify.com/track/4KBUMYHBIlRpjllvRSIsxW
1055329,170,Think About It,Yasin,166968,https://open.spotify.com/track/1VbxbVQVmCTKtL5s9amH5B
1055331,172,Welcome To Sweden,Einár,166746,https://open.spotify.com/track/0MVVbyWidMUnXyKpnWK6z2
1055332,173,Drunk Enough To,Nea,165329,https://open.spotify.com/track/1cgvB6KaL16ibyrJHhZeG0
