Year,TradeFlowName,TradeValueK,ProductCode,first,second,third,fourth
2008,Import,2251.051,10,1,10,10,10
2018,Import,539903.861,30,3,30,30,30
2017,Import,16335.186,24,2,24,24,24
2016,Import,181092.718,29,2,29,29,29
2010,Import,558.939,21,2,21,21,21
2010,Export,31274.207,27,2,27,27,27
2009,Import,468258.967,33,3,33,33,33
2008,Export,1124853.872,01,0,01,01,01
2017,Export,300119.687,38,3,38,38,38
2009,Export,846031.201,28,2,28,28,28
2018,Import,8192373.034,28,2,28,28,28
2012,Import,63347.381,01,0,01,01,01
2014,Export,90061.892,09,0,09,09,09
2013,Export,2448397.621,20,2,20,20,20
2017,Import,299522.331,33,3,33,33,33
2010,Import,270426.667,20,2,20,20,20
2011,Export,2969150.32,35,3,35,35,35
2010,Export,599566.006,30,3,30,30,30
2013,Import,14763.723,10,1,10,10,10
2014,Import,16154.235,23,2,23,23,23
2016,Import,844487.208,37,3,37,37,37
2009,Export,1683109.05,33,3,33,33,33
2012,Import,224570.132,32,3,32,32,32
2019,Export,2375.416,21,2,21,21,21
2011,Export,35083.384,91,9,91,91,91
2009,Export,59334.55,02,0,02,02,02
2017,Import,1261920.334,38,3,38,38,38
2008,Export,1011131.586,26,2,26,26,26
2009,Import,93718.187,22,2,22,22,22
2015,Import,44621.339,02,0,02,02,02
2015,Import,130882.546,14,1,14,14,14
2013,Import,19093.457,23,2,23,23,23
2008,Export,578430.32,30,3,30,30,30
2018,Import,16654.9,09,0,09,09,09
2017,Export,1090753.169,26,2,26,26,26
2016,Export,11771.407,08,0,08,08,08
2013,Import,469992.969,20,2,20,20,20
2018,Import,977022.639,37,3,37,37,37
2019,Export,33.405,12,1,12,12,12
2010,Import,6594.411,08,0,08,08,08
2008,Export,1099384.609,28,2,28,28,28
2017,Export,323297.478,29,2,29,29,29
2013,Export,1825.183,21,2,21,21,21
2017,Export,465445.354,31,3,31,31,31
2016,Import,12517.93,23,2,23,23,23
2011,Export,22901.425,27,2,27,27,27
2011,Import,644312.653,33,3,33,33,33
2009,Export,131489.173,23,2,23,23,23
2017,Export,280831.526,10,1,10,10,10
2019,Import,8267201.632,28,2,28,28,28
2018,Export,1153.661,21,2,21,21,21
2015,Import,616598.766,20,2,20,20,20
2009,Export,443208.341,30,3,30,30,30
2018,Import,6111.564,31,3,31,31,31
2016,Import,18462.486,24,2,24,24,24
2010,Export,1042544.579,26,2,26,26,26
2016,Export,2029650.989,20,2,20,20,20
2017,Export,45976.195,14,1,14,14,14
2014,Import,2013020.173,36,3,36,36,36
2015,Import,257553.783,29,2,29,29,29
2019,Export,610106.561,30,3,30,30,30
2012,Import,13438.576,10,1,10,10,10
2018,Export,397824.72,31,3,31,31,31
2011,Import,1026415.86,34,3,34,34,34
2015,Import,41939.119,27,2,27,27,27
2018,Export,1063208.607,01,0,01,01,01
2011,Export,31768.472,23,2,23,23,23
2017,Import,14852.734,23,2,23,23,23
2017,Import,531144.125,34,3,34,34,34
2012,Export,8449.211,08,0,08,08,08
2019,Export,385402.532,38,3,38,38,38
2015,Import,1475.492,21,2,21,21,21
2015,Import,144022.392,25,2,25,25,25
2009,Import,5906672.246,28,2,28,28,28
2011,Export,613814.922,30,3,30,30,30
2014,Import,43102.858,02,0,02,02,02
2016,Export,610573.997,36,3,36,36,36
2016,Export,429951.362,34,3,34,34,34
2010,Export,942.694,21,2,21,21,21
2009,Export,0.132,12,1,12,12,12
2016,Import,343194.978,33,3,33,33,33
2019,Export,252496.362,25,2,25,25,25
2010,Export,596357.205,24,2,24,24,24
2012,Import,7829.171,09,0,09,09,09
2008,Export,4901750.018,13,1,13,13,13
2013,Import,2097975.345,38,3,38,38,38
2008,Export,181968.965,25,2,25,25,25
2018,Import,16110.411,23,2,23,23,23
2014,Import,150306.278,22,2,22,22,22
